"scenarioId","scenarioStatus","metric","actualTB","expectedTB","deltaTB","deltaPct","metricStatus"
"lb-gfs-yearly-boundary","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-gfs-yearly-boundary","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-gfs-stacking","PASS","Planned Capacity","2.98","2.98","0","0","PASS"
"lb-gfs-stacking","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-gfs-stacking","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-gfs-stacking","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-sobr-offload-threshold","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"lb-sobr-offload-threshold","PASS","Planned Capacity Tier","0.65","0.65","0","0","PASS"
"lb-sobr-offload-threshold","PASS","Planned Archive Tier","0","0","0","0","PASS"
"lb-sobr-offload-threshold","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-sobr-offload-threshold","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-sobr-offload-threshold","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-sobr-archive-threshold-move","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"lb-sobr-archive-threshold-move","PASS","Planned Capacity Tier","1.88","1.88","0","0","PASS"
"lb-sobr-archive-threshold-move","PASS","Planned Archive Tier","0","0","0","0","PASS"
"lb-sobr-archive-threshold-move","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-sobr-archive-threshold-move","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-sobr-archive-threshold-move","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-sobr-archive-threshold-copy","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"lb-sobr-archive-threshold-copy","PASS","Planned Capacity Tier","2.05","2.05","0","0","PASS"
"lb-sobr-archive-threshold-copy","PASS","Planned Archive Tier","0","0","0","0","PASS"
"lb-sobr-archive-threshold-copy","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-sobr-archive-threshold-copy","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-sobr-archive-threshold-copy","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-sobr-capacity-residue-after-archive","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"lb-sobr-capacity-residue-after-archive","PASS","Planned Capacity Tier","1.35","1.35","0","0","PASS"
"lb-sobr-capacity-residue-after-archive","PASS","Planned Archive Tier","0","0","0","0","PASS"
"lb-sobr-capacity-residue-after-archive","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-sobr-capacity-residue-after-archive","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-sobr-capacity-residue-after-archive","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-perf-prune-ordering","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
